X,Y,OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
-8837971.702,5416826.955,1,GO-2004111878,2004/01/03 05:00:00+00,2004,January,3,Saturday,3,D53,Other,98,Rosedale-Moore Park,98,Rosedale-Moore Park (98),-79.3928506,43.68501978
-8820275.971,5431727.921,2,GO-2004125755,2004/01/08 05:00:00+00,2004,January,8,Thursday,8,D42,Shooting,142,Woburn North,137,Woburn (137),-79.23388715,43.78174054
-8817271.078,5436217.189,3,GO-2004136086,2004/01/08 05:00:00+00,2004,January,8,Thursday,8,D42,Shooting,146,Malvern East,132,Malvern (132),-79.20689374,43.81084933
-8842596.503,5414586.787,4,GO-2004148623,2004/01/25 05:00:00+00,2004,January,25,Sunday,25,D13,Shooting,171,Junction-Wallace Emerson,93,Dovercourt-Wallace Emerson-Junction (93),-79.4343959,43.67046556
-8816933.624,5438174.368,5,GO-2004148619,2004/01/25 05:00:00+00,2004,January,25,Sunday,25,D42,Shooting,144,Morningside Heights,131,Rouge (131),-79.20386233,43.82353541
-8850860.275,5422353.33,6,GO-2004152518,2004/02/20 05:00:00+00,2004,February,20,Friday,51,D31,Stabbing,154,Oakdale-Beverley Heights,26,Downsview-Roding-CFB (26),-79.50863063,43.72090918
-8850860.275,5422353.33,7,GO-2004152518,2004/02/20 05:00:00+00,2004,February,20,Friday,51,D31,Stabbing,154,Oakdale-Beverley Heights,26,Downsview-Roding-CFB (26),-79.50863063,43.72090918
-8850898.728,5422576.482,8,GO-2004172092,2004/02/21 05:00:00+00,2004,February,21,Saturday,52,D31,Shooting,154,Oakdale-Beverley Heights,26,Downsview-Roding-CFB (26),-79.50897606,43.72235792
-8860237.064,5425773.049,9,GO-2004133635,2004/02/21 05:00:00+00,2004,February,21,Saturday,52,D23,Other,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),-79.59286375,43.74310677
-8819575.777,5437051.854,10,GO-2004218803,2004/03/03 05:00:00+00,2004,March,3,Wednesday,63,D42,Shooting,144,Morningside Heights,131,Rouge (131),-79.2275972,43.81625981
-8823906.735,5435780.839,11,GO-2004218585,2004/03/03 05:00:00+00,2004,March,3,Wednesday,63,D42,Shooting,129,Agincourt North,129,Agincourt North (129),-79.26650286,43.80802063
-8830839.213,5418507.448,12,GO-2004301868,2004/03/03 05:00:00+00,2004,March,3,Wednesday,63,D54,Shooting,58,Old East York,58,Old East York (58),-79.32877836,43.69593552
-8826157.978,5419145.298,13,GO-2004200779,2004/03/04 05:00:00+00,2004,March,4,Thursday,64,D41,Shooting,120,Clairlea-Birchmount,120,Clairlea-Birchmount (120),-79.28672612,43.70007819
-8821236.689,5429467.042,14,GO-2004229133,2004/03/13 05:00:00+00,2004,March,13,Saturday,73,D41,Stabbing,142,Woburn North,137,Woburn (137),-79.24251743,43.76707544
-8841827.168,5420631.934,15,GO-2004219659,2004/03/18 05:00:00+00,2004,March,18,Thursday,78,D53,Other,39,Bedford Park-Nortown,39,Bedford Park-Nortown (39),-79.42748485,43.70973239
-8819322.4,5428348.163,16,GO-2004219687,2004/03/24 05:00:00+00,2004,March,24,Wednesday,84,D42,Other,141,Golfdale-Cedarbrae-Woburn,137,Woburn (137),-79.22532108,43.75981655
-8835660.234,5412808.892,17,GO-2004256410,2004/04/01 05:00:00+00,2004,April,1,Thursday,92,D51,Other,73,Moss Park,73,Moss Park (73),-79.37208633,43.65891217
-8855527.98,5422997.429,18,GO-2004250857,2004/04/13 04:00:00+00,2004,April,13,Tuesday,104,D23,Shooting,5,Elms-Old Rexdale,5,Elms-Old Rexdale (5),-79.55056133,43.72509069
-8858725.345,5424560.177,19,GO-2004350484,2004/05/01 04:00:00+00,2004,May,1,Saturday,122,D23,Shooting,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),-79.57928375,43.73523489
-8851987.752,5429787.945,20,GO-2004311851,2004/05/15 04:00:00+00,2004,May,15,Saturday,136,D31,Shooting,24,Black Creek,24,Black Creek (24),-79.51875893,43.76915718
-8854813.158,5402873.188,21,GO-2004311870,2004/05/19 04:00:00+00,2004,May,19,Wednesday,140,D22,Stabbing,20,Alderwood,20,Alderwood (20),-79.54413998,43.59430558
-8845117.194,5420697.563,22,GO-2004374908,2004/05/20 04:00:00+00,2004,May,20,Thursday,141,D13,Other,31,Yorkdale-Glen Park,31,Yorkdale-Glen Park (31),-79.45703965,43.71015855
